capital,en,en_abbr,cn_zh
a,average-pooling,,平均池化
a,average gradient,,平均梯度
a,automatic summarization,,自动摘要
a,automatic speech recognition,ASR,自动语音识别
a,automatic diﬀerentiation,,自动微分
a,autoencoder,,自编码器
a,auto-regressive network,,自回归网络
a,augmented lagrangian,,增广拉格朗日法
a,attribute value,,属性值
a,attribute space,,属性空间
a,attribute conditional independence assumption,,属性条件独立性假设
a,attention mechanism,,注意力机制
a,asynchoronous stochastic gradient descent,,异步随机梯度下降
a,asymptotically unbiased,,渐近无偏
a,association analysis,,关联分析
a,artificial intelligence,AI,人工智能
a,artificial general intelligence,AGI,通用人工智能
a,area under roc curve,AUC,Roc 曲线下面积
a,architecture,,架构
a,approximation,,近似
a,approximate inference,,近似推断
a,approximate bayesian computation,,近似贝叶斯计算
a,application-speciﬁc integrated circuit,,专用集成电路
a,anomaly detection,,异常检测
a,annealed importance sampling,,退火重要采样
a,ancestral sampling,,原始采样
a,analytic gradient,,解析梯度
a,alternative splicing dataset,,选择性剪接数据集
a,alpha-beta pruning,,α-β剪枝
a,algorithm,,算法
a,agent,,智能体
a,affinity matrix,,亲和矩阵
a,affine layer,,仿射层
a,adversarial networks,,对抗网络
a,adversarial example,,对抗样本
a,addictive model,,加性模型
a,adaptive resonance theory,ART,自适应谐振理论
a,adaptive bitrate (abr) algorithm,,自适应比特率算法
a,actor-critic method,,行为-评判方法
a,activation function,,激活函数
a,acquisition funtion,,采集函数
a,acoustic modeling,,声学建模
a,accumulated error backpropagation,,累积误差反向传播
a,absolute value rectification,,绝对值整流
b,burning-in,,磨合
b,broadcasting,,广播
b,bridge sampling,,桥式采样
b,break-event point,BEP,平衡点
b,bounding boxes,,边界框
b,bottleneck layer,,瓶颈层
b,bootstrapping,,自助法
b,bootstrap sampling,,自助采样法/可重复采样/有放回采样
b,boltzmann machine,,玻尔兹曼机
b,boltzmann distribution,,玻尔兹曼分布
b,boilerplate code,,样板代码
b,block gibbs sampling,,块吉布斯采样
b,block coordinate descent,,块坐标下降
b,binomial test,,二项检验
b,binomial distribution,,二项分布
b,binary sparse coding,,二值稀疏编码
b,binary relation,,二元关系
b,binary classification,,二元分类
b,biased importance sampling,,有偏重要采样
b,biased,,有偏
b,bias-variance dilemma,,偏差 - 方差困境
b,bias-variance decomposition,,偏差-方差分解
b,bias,,偏置 / 偏差
b,bi-partition,,二分法
b,bi-directional long-short term memory,BI-LSTM,双向长短期记忆
b,between-class scatter matrix,,类间散度矩阵
b,bellman equation,,贝尔曼方程
b,belief network,,信念网络
b,bechmark,,基准
b,beam search,,束搜索
b,bayesian optimization,,贝叶斯优化
b,bayesian network,,贝叶斯网络
b,bayesian decision theory,,贝叶斯决策论
b,bayes optimal classifier,,贝叶斯最优分类器
b,bayes model averaging,BMA,贝叶斯模型平均
b,bayes error,,贝叶斯误差
b,bayes decision rule,,贝叶斯判定准则
b,batch normalization,BN,批次归一化
b,batch,,批次
b,base learning algorithm,,基学习算法
b,base learner,,基学习器
b,bag of words,BOW,词袋
b,backward induction,,逆向归纳
b,backpropagation through time,,通过时间的反向传播
b,backpropagation,BP,反向传播
c,cutting plane algorithm,,割平面法
c,cut point,,截断点
c,curve-fitting,,曲线拟合
c,curse of dimensionality,,维度灾难
c,cumulative function,,累积函数
c,crowdsourcing,,众包
c,cross-correlation,,互相关函数
c,cross validation,,交叉验证
c,cross entropy,,交叉熵
c,covariance matrix,,协方差矩阵
c,covariance,,协方差
c,cost-sensitive,,成本敏感
c,cost matrix,,成本矩阵
c,cost function,,成本函数
c,cost curve,,成本曲线
c,cosine similarity,,余弦相似度
c,correlation coefficient,,相关系数
c,coordinate descent,,坐标下降
c,convolutional neural network,CNN,卷积神经网络
c,convolutional boltzmann machine,,卷积玻尔兹曼机
c,convexity,,凸性
c,convex quadratic programming,,凸二次规划
c,convex optimization,,凸优化
c,conversational agent,,会话智能体
c,convergence,,收敛
c,contractive neural network,,收缩神经网络
c,contractive autoencoder,,收缩自编码器
c,continuous attribute,,连续属性
c,continuation method,,延拓法
c,contingency table,,列联表
c,consistency convergence,,一致性收敛
c,consistency,,一致性/相合性
c,connectionism,,连结主义
c,connection weight,,连接权
c,conjugate gradient,,共轭梯度
c,conjugate distribution,,共轭分布
c,conjugate directions,,共轭方向
c,confusion matrix,,混淆矩阵
c,confidence,,置信度
c,conference on neural information processing systems,NIPS,国际神经信息处理系统会议
c,conditional risk,,条件风险
c,conditional random field,CRF,条件随机场
c,conditional probability table,CPT,条件概率表
c,conditional mutual information,,条件互信息
c,conditional entropy,,条件熵
c,concept learning system,CLS,概念学习系统
c,concept drift,,概念漂移
c,computer vision,,计算机视觉
